,wavelength,transmission
0,10620.0,0.0
1,10660.0,0.000407068
2,10700.0,0.00154293
3,10750.0,0.00267013
4,10780.0,0.00550643
5,10820.0,0.0122532
6,10840.0,0.0202928
7,10870.0,0.030647
8,10890.0,0.0405135
9,10930.0,0.0515324
10,10960.0,0.0563529
11,11020.0,0.0718073
12,11050.0,0.27360300000000004
13,11070.0,0.340997
14,11090.0,0.358446
15,11120.0,0.380134
16,11160.0,0.33066799999999996
17,11170.0,0.239548
18,11200.0,0.250062
19,11230.0,0.283301
20,11280.0,0.258233
21,11290.0,0.251474
22,11320.0,0.538119
23,11340.0,0.22316799999999998
24,11380.0,0.5368930000000001
25,11400.0,0.110203
26,11430.0,0.529207
27,11470.0,0.26194
28,11540.0,0.320155
29,11590.0,0.1743
30,11640.0,0.607031
31,11670.0,0.617933
32,11700.0,0.676289
33,11730.0,0.7279399999999999
34,11750.0,0.7465310000000001
35,11790.0,0.8304040000000001
36,11820.0,0.790307
37,11860.0,0.809605
38,11880.0,0.836888
39,11920.0,0.8359840000000001
40,11950.0,0.7499359999999999
41,11990.0,0.708013
42,12020.0,0.698759
43,12090.0,0.704854
44,12160.0,0.700382
45,12210.0,0.732765
46,12270.0,0.705725
47,12310.0,0.8424309999999999
48,12360.0,0.9218729999999999
49,12400.0,0.9525049999999999
50,12440.0,0.967585
51,12470.0,0.959508
52,12530.0,0.922697
53,12550.0,0.892978
54,12580.0,0.852943
55,12600.0,0.802308
56,12650.0,0.750078
57,12700.0,0.678072
58,12750.0,0.652417
59,12790.0,0.638754
60,12860.0,0.642413
61,12920.0,0.64856
62,12970.0,0.68238
63,13020.0,0.752903
64,13050.0,0.775942
65,13070.0,0.811828
66,13100.0,0.777008
67,13130.0,0.7210300000000001
68,13160.0,0.9524590000000001
69,13190.0,0.855137
70,13230.0,0.8414010000000001
71,13260.0,1.0
72,13300.0,0.8947360000000001
73,13330.0,0.8549120000000001
74,13340.0,0.537894
75,13360.0,0.279866
76,13390.0,0.906532
77,13430.0,0.689345
78,13460.0,0.553327
79,13490.0,0.243177
80,13530.0,0.014376
81,13550.0,0.00018929
82,13600.0,0.0400791
83,13630.0,0.00453595
84,13700.0,0.000319968
85,13730.0,0.0372168
86,13770.0,0.000538436
87,13830.0,0.0
88,13880.0,0.00014444299999999999
89,13920.0,0.00329774
90,13950.0,0.000314438
91,13960.0,0.00847738
92,13970.0,0.0253731
93,13980.0,0.11844600000000001
94,14000.0,0.000135728
95,14010.0,6.10438e-05
96,14020.0,0.0521326
97,14040.0,0.0103768
98,14060.0,0.047805
99,14070.0,0.00041972699999999995
100,14100.0,0.00236641
101,14120.0,0.00526108
102,14160.0,0.00864765
103,14210.0,0.000728868
104,14260.0,0.000348399
105,14420.0,0.000378145
106,14500.0,0.0
